Region,Date,Fatalities,Year,Month,Day,Quarter
Banadir,2018.3424657534247,1,2018,5,6,2
Banadir,2018.3424657534247,1,2018,5,6,2
Banadir,2018.345205479452,1,2018,5,7,2
Banadir,2018.345205479452,1,2018,5,7,2
Banadir,2018.3479452054794,0,2018,5,8,2
Banadir,2018.3479452054794,1,2018,5,8,2
Banadir,2018.3479452054794,0,2018,5,8,2
Banadir,2018.3506849315067,3,2018,5,9,2
Banadir,2018.3506849315067,0,2018,5,9,2
Banadir,2018.3534246575343,4,2018,5,10,2
Banadir,2018.3534246575343,1,2018,5,10,2
Banadir,2018.3534246575343,1,2018,5,10,2
Banadir,2018.3534246575343,0,2018,5,10,2
Banadir,2018.3561643835617,4,2018,5,11,2
Banadir,2018.3561643835617,10,2018,5,11,2
Banadir,2018.358904109589,1,2018,5,12,2
Banadir,2018.3616438356164,0,2018,5,13,2
Banadir,2018.3616438356164,0,2018,5,13,2
Banadir,2018.3643835616438,1,2018,5,14,2
Banadir,2018.3643835616438,1,2018,5,14,2
Banadir,2018.3671232876711,0,2018,5,15,2
Banadir,2018.3671232876711,1,2018,5,15,2
Banadir,2018.3698630136987,0,2018,5,16,2
Banadir,2018.3698630136987,0,2018,5,16,2
Banadir,2018.3698630136987,0,2018,5,16,2
Banadir,2018.3698630136987,0,2018,5,16,2
Banadir,2018.3698630136987,0,2018,5,16,2
Banadir,2018.3698630136987,0,2018,5,16,2
Banadir,2018.3698630136987,1,2018,5,16,2
Banadir,2018.372602739726,5,2018,5,17,2
Banadir,2018.372602739726,3,2018,5,17,2
Banadir,2018.372602739726,0,2018,5,17,2
Banadir,2018.372602739726,0,2018,5,17,2
Banadir,2018.372602739726,5,2018,5,17,2
Banadir,2018.3753424657534,1,2018,5,18,2
Banadir,2018.3753424657534,0,2018,5,18,2
Banadir,2018.3753424657534,1,2018,5,18,2
Banadir,2018.3753424657534,2,2018,5,18,2
Banadir,2018.3753424657534,4,2018,5,18,2
Banadir,2018.3753424657534,1,2018,5,18,2
Banadir,2018.3780821917808,1,2018,5,19,2
Banadir,2018.3780821917808,1,2018,5,19,2
Banadir,2018.3808219178081,1,2018,5,20,2
Banadir,2018.3808219178081,1,2018,5,20,2
Banadir,2018.3835616438357,3,2018,5,21,2
Banadir,2018.3835616438357,1,2018,5,21,2
Banadir,2018.3835616438357,1,2018,5,21,2
Banadir,2018.3835616438357,1,2018,5,21,2
Banadir,2018.386301369863,1,2018,5,22,2
Banadir,2018.386301369863,1,2018,5,22,2
Banadir,2018.386301369863,2,2018,5,22,2
Banadir,2018.3890410958904,0,2018,5,23,2
Banadir,2018.3890410958904,2,2018,5,23,2
Banadir,2018.3890410958904,1,2018,5,23,2
Banadir,2018.3890410958904,1,2018,5,23,2
Banadir,2018.3917808219178,1,2018,5,24,2
Banadir,2018.3945205479451,0,2018,5,25,2
Banadir,2018.3972602739725,0,2018,5,26,2
Banadir,2018.3972602739725,1,2018,5,26,2
Banadir,2018.3972602739725,1,2018,5,26,2
Banadir,2018.4,0,2018,5,27,2
Banadir,2018.4,0,2018,5,27,2
Banadir,2018.4,1,2018,5,27,2
Banadir,2018.4027397260274,1,2018,5,28,2
Banadir,2018.4027397260274,1,2018,5,28,2
Banadir,2018.4027397260274,1,2018,5,28,2
Banadir,2018.4054794520548,0,2018,5,29,2
Banadir,2018.4054794520548,0,2018,5,29,2
Banadir,2018.4054794520548,1,2018,5,29,2
Banadir,2018.4054794520548,1,2018,5,29,2
Banadir,2018.4054794520548,1,2018,5,29,2
Banadir,2018.4054794520548,6,2018,5,29,2
Banadir,2018.4082191780822,1,2018,5,30,2
Banadir,2018.4109589041095,0,2018,5,31,2
Banadir,2018.4109589041095,1,2018,5,31,2
Banadir,2018.4136986301369,2,2018,6,1,2
Banadir,2018.4136986301369,2,2018,6,1,2
Banadir,2018.4136986301369,2,2018,6,1,2
Banadir,2018.4136986301369,1,2018,6,1,2
Banadir,2018.4136986301369,1,2018,6,1,2
Banadir,2018.4136986301369,1,2018,6,1,2
Banadir,2018.4164383561645,2,2018,6,2,2
Banadir,2018.4164383561645,3,2018,6,2,2
Banadir,2018.4164383561645,2,2018,6,2,2
Banadir,2018.4164383561645,1,2018,6,2,2
Banadir,2018.4164383561645,2,2018,6,2,2
Banadir,2018.4164383561645,3,2018,6,2,2
Banadir,2018.4191780821918,2,2018,6,3,2
Banadir,2018.4191780821918,1,2018,6,3,2
Banadir,2018.4191780821918,1,2018,6,3,2
Banadir,2018.4191780821918,1,2018,6,3,2
Banadir,2018.4219178082192,0,2018,6,4,2
Banadir,2018.4219178082192,2,2018,6,4,2
Banadir,2018.4219178082192,1,2018,6,4,2
Banadir,2018.4246575342465,1,2018,6,5,2
Banadir,2018.427397260274,1,2018,6,6,2
Banadir,2018.427397260274,1,2018,6,6,2
Banadir,2018.4301369863015,4,2018,6,7,2
Banadir,2018.4328767123288,1,2018,6,8,2
Banadir,2018.4328767123288,0,2018,6,8,2
Banadir,2018.4356164383562,0,2018,6,9,2
Banadir,2018.4383561643835,0,2018,6,10,2
Banadir,2018.4383561643835,0,2018,6,10,2
Banadir,2018.4383561643835,0,2018,6,10,2
Banadir,2018.441095890411,3,2018,6,11,2
Banadir,2018.441095890411,0,2018,6,11,2
Banadir,2018.441095890411,0,2018,6,11,2
Banadir,2018.4438356164383,0,2018,6,12,2
Banadir,2018.4438356164383,1,2018,6,12,2
Banadir,2018.4438356164383,1,2018,6,12,2
Banadir,2018.4465753424658,2,2018,6,13,2
Banadir,2018.4465753424658,1,2018,6,13,2
Banadir,2018.4465753424658,1,2018,6,13,2
Banadir,2018.4493150684932,0,2018,6,14,2
Banadir,2018.4493150684932,0,2018,6,14,2
Banadir,2018.4493150684932,1,2018,6,14,2
Banadir,2018.4520547945206,1,2018,6,15,2
Banadir,2018.4520547945206,4,2018,6,15,2
Banadir,2018.4520547945206,1,2018,6,15,2
Banadir,2018.454794520548,0,2018,6,16,2
Banadir,2018.4575342465753,2,2018,6,17,2
